right_arm_link,right_shoulder_pitch_link,right_shoulder_roll_link,right_shoulder_yaw_link,right_elbow_link,right_wrist_roll_link,right_wrist_pitch_link,right_wrist_yaw_link
0.0,1.4745077,-0.9339088,-0.07795181,1.92,0.0,0.0,0.0
0.0,1.4803154,-0.9606667,-0.024018848,1.92,0.0,0.0,0.0
0.0,1.4886805,-1.0023024,0.0601925,1.92,0.0,0.0,0.0
0.0,1.4929911,-1.0453427,0.14264178,1.92,0.0,0.0,0.0
0.0,1.4904224,-1.0807607,0.20639336,1.92,0.0,0.0,0.0
0.0,1.4836782,-1.1051497,0.24952191,1.92,0.0,0.0,0.0
0.0,1.4693056,-1.1143461,0.2567051,1.92,0.0,0.0,0.0
0.0,1.446943,-1.1038051,0.22356556,1.92,0.0,0.0,0.0
0.0,1.426775,-1.0772557,0.17461638,1.92,0.0,0.0,0.0
0.0,1.4131712,-1.0471523,0.13705881,1.92,0.0,0.0,0.0
0.0,1.402494,-1.0247191,0.118309505,1.92,0.0,0.0,0.0
0.0,1.3924181,-1.0176618,0.1157226,1.92,0.0,0.0,0.0
0.0,1.3854245,-1.0309987,0.12203288,1.92,0.0,0.0,0.0
0.0,1.3824966,-1.057428,0.1195715,1.92,0.0,0.0,0.0
0.0,1.3818092,-1.0847644,0.10468389,1.92,0.0,0.0,0.0
0.0,1.3823466,-1.1079006,0.09170178,1.92,0.0,0.0,0.0
0.0,1.3773028,-1.1192199,0.07017307,1.92,0.0,0.0,0.0
0.0,1.3716059,-1.1124107,0.029977093,1.92,0.0,0.0,0.0
0.0,1.378445,-1.0945374,-0.014304087,1.92,0.0,0.0,0.0
0.0,1.392743,-1.0762887,-0.042267695,1.92,0.0,0.0,0.0
0.0,1.3957007,-1.0654976,-0.053298555,1.92,0.0,0.0,0.0
0.0,1.3825313,-1.0717776,-0.05872331,1.92,0.0,0.0,0.0
0.0,1.3684254,-1.0933455,-0.069966316,1.92,0.0,0.0,0.0
0.0,1.3660471,-1.1171005,-0.07657963,1.92,0.0,0.0,0.0
0.0,1.3663659,-1.1311407,-0.07143835,1.92,0.0,0.0,0.0
0.0,1.3604734,-1.1264279,-0.06717608,1.92,0.0,0.0,0.0
0.0,1.3551998,-1.1097078,-0.06902001,1.92,0.0,0.0,0.0
0.0,1.355834,-1.0927843,-0.07034316,1.92,0.0,0.0,0.0
0.0,1.3502084,-1.081877,-0.06735141,1.92,0.0,0.0,0.0
0.0,1.3303734,-1.0823635,-0.06724395,1.92,0.0,0.0,0.0
0.0,1.3078988,-1.0962759,-0.077014744,1.92,0.0,0.0,0.0
0.0,1.2991734,-1.1174786,-0.08472652,1.92,0.0,0.0,0.0
0.0,1.2985846,-1.1372175,-0.08089107,1.92,0.0,0.0,0.0
0.0,1.2916113,-1.140638,-0.078883015,1.92,0.0,0.0,0.0
0.0,1.280619,-1.1247987,-0.08427112,1.92,0.0,0.0,0.0
